year,OIL,YEMU,CPEMU,SEMU,YUS,CPUS,SUS
1984:03:00,2.232134506,0.725148428,0.623814875,11.329572,0.65123573,0.668716136,11.44
1984:04:00,2.200757733,0.727692349,0.632031124,11.1364458,0.656148268,0.673500334,9.39
1985:01:00,2.217465408,0.729425565,0.643741606,10.90733817,0.661624899,0.68024713,8.62
1985:02:00,2.135115584,0.736261732,0.648974598,10.61382614,0.66680766,0.686616354,7.95
1985:03:00,2.156518162,0.743319567,0.653562493,9.95109834,0.676773731,0.691293784,7.79
1985:04:00,2.21793984,0.747868426,0.660345367,9.38979214,0.682344357,0.697890134,7.83
1986:01:00,1.392819394,0.74806443,0.665947527,9.72248126,0.688561365,0.701682356,7.58
1986:02:00,0.940527324,0.755924409,0.667545857,8.82432186,0.691428939,0.701971601,6.66
1986:03:00,0.944694668,0.760791485,0.669560645,8.38430756,0.697845761,0.707158607,6
1986:04:00,1.150085528,0.764005152,0.676175267,8.42155566,0.701559531,0.712352408,5.83
1987:01:00,1.404195884,0.760342725,0.68154997,8.6347785,0.706707059,0.721765504,6.05
1987:02:00,1.440868013,0.773539509,0.686596432,8.7111744,0.71421689,0.729239297,6.82
1987:03:00,1.466913602,0.779924093,0.689660488,8.6840298,0.72019885,0.736217101,6.94
1987:04:00,1.39272426,0.790187455,0.695369515,8.4679089,0.732691628,0.74348318,7.64
1988:01:00,1.231638453,0.795151483,0.699510841,7.662207,0.737568874,0.748352793,6.72
1988:02:00,1.248970056,0.801827731,0.706446165,7.4914017,0.746253886,0.756902035,7.22
1988:03:00,1.089738735,0.810732592,0.712296377,8.10440205,0.750073416,0.766030739,8.17
1988:04:00,0.993367215,0.818874364,0.720014409,8.54547971,0.759816203,0.773587035,8.8
1989:01:00,1.310992187,0.829514524,0.728153191,9.55423322,0.769053542,0.782316813,9.6
1989:02:00,1.401259099,0.833613673,0.738075599,9.869469893,0.773237408,0.792707326,9.58
1989:03:00,1.325071952,0.840091902,0.744928692,10.15793533,0.776904181,0.797650706,8.73
1989:04:00,1.439957449,0.849260467,0.752099515,10.93939417,0.779595469,0.805331241,8.44
1990:01:00,1.47135152,0.860108308,0.758197526,11.23271165,0.789326433,0.816052736,8.24
1990:02:00,1.193977923,0.865335339,0.766365508,10.68038022,0.791136349,0.824860164,8.33
1990:03:00,2.033881134,0.872350636,0.776690758,10.59985588,0.789690769,0.835898082,8.04
1990:04:00,2.456921491,0.878575664,0.786211091,11.04206649,0.783203479,0.847751323,7.97
1991:01:00,1.516035872,0.884370258,0.79445298,11.16189474,0.779348656,0.854060368,6.71
1991:02:00,1.377019812,0.886480334,0.804163898,10.53466316,0.783708809,0.859595828,6.01
1991:03:00,1.470674466,0.88757647,0.817048068,10.58792306,0.785636191,0.865406944,5.7
1991:04:00,1.522836067,0.894367281,0.828816945,10.78621054,0.789867055,0.872753585,4.91
1992:01:00,1.352377752,0.90541804,0.835863981,10.90328303,0.797200541,0.880561272,4.12
1992:02:00,1.524316197,0.899835629,0.843977188,11.0411166,0.804663315,0.88662475,3.89
1992:03:00,1.543788922,0.898010796,0.851169928,12.01934466,0.810880382,0.891546777,3.27
1992:04:00,1.464868849,0.895551901,0.858575874,11.61972173,0.821563302,0.898312985,3.44
1993:01:00,1.37521351,0.889084327,0.870063385,10.85235657,0.821340018,0.903290337,3.14
1993:02:00,1.377210079,0.88949294,0.878582792,9.192547869,0.826334788,0.9089083,3.13
1993:03:00,1.240137462,0.893331679,0.886294124,8.317190707,0.829954504,0.911960907,3.14
1993:04:00,1.144592492,0.89686164,0.893596501,7.654898415,0.842494338,0.917565281,3.28
1994:01:00,1.079159143,0.904602689,0.901555893,7.076676328,0.84962801,0.920202462,3.45
1994:02:00,1.250367407,0.909300331,0.90822871,6.574818133,0.861474464,0.925056545,4.35
1994:03:00,1.315937896,0.915525954,0.915451994,6.62516255,0.866175425,0.933030208,4.86
1994:04:00,1.296538065,0.923315958,0.92199967,6.749742428,0.876858345,0.937132058,5.86
1995:01:00,1.342756908,0.92960921,0.929287671,7.18324067,0.880102019,0.942926674,6.18
1995:02:00,1.417551645,0.935203724,0.937399918,7.34568535,0.881817822,0.948388366,6.01
1995:03:00,1.268447723,0.937016285,0.944075179,6.894718937,0.888645979,0.95272996,5.76
1995:04:00,1.320562375,0.939145179,0.950436539,6.577808083,0.895756181,0.956683306,5.72
1996:01:00,1.416034451,0.941621618,0.95728285,5.841928058,0.902161239,0.962406095,5.28
1996:02:00,1.478872013,0.947576648,0.964246712,5.357768125,0.917028025,0.968488015,5.39
1996:03:00,1.58999541,0.95249384,0.967041183,5.206173345,0.921611461,0.972358858,5.48
1996:04:00,1.795943481,0.954783045,0.972951084,4.77258403,0.932118095,0.979060035,5.41
1997:01:00,1.630072579,0.958465806,0.97790737,4.602843095,0.9421194,0.984989567,5.44
1997:02:00,1.433700874,0.969430159,0.981487871,4.47836318,0.955693422,0.987793695,5.69
1997:03:00,1.459055818,0.975752578,0.9882485,4.453749715,0.96564767,0.990844361,5.6
1997:04:00,1.476452902,0.985840486,0.992948781,4.600156053,0.972264365,0.994151272,5.73
1998:01:00,1.067699875,0.993620586,0.995841666,4.383393895,0.986766756,0.995617882,5.55
1998:02:00,1.015585223,0.997623297,0.999469649,4.228312225,0.992243445,0.998025026,5.59
1998:03:00,1.002450615,1.003020306,1.002310708,4.130353375,1.002303453,1.001437734,5.53
1998:04:00,0.914264287,1.005735811,1.002377977,3.76781553,1.018686346,1.004919357,5.2
1999:01:00,0.888070438,1.014188915,1.004715535,3.2367011,1.02636064,1.007978759,4.9
1999:02:00,1.231140546,1.019935394,1.010635302,2.7855006,1.031331881,1.013617105,4.98
1999:03:00,1.604843657,1.032061707,1.013773394,2.846461,1.044424102,1.019039001,5.38
1999:04:00,1.883619547,1.044331616,1.018032863,3.5589337,1.062428685,1.025101509,6.06
2000:01:00,2.056621758,1.053690597,1.02462927,3.6230746,1.069162905,1.033779844,6.03
2000:02:00,2.074840451,1.062599386,1.029704348,4.3113814,1.081890731,1.039603578,6.57
2000:03:00,2.333436909,1.067830194,1.036987246,4.7750546,1.083418543,1.044976944,6.63
2000:04:00,2.299451994,1.07562781,1.043548477,5.0267228,1.086368348,1.050757001,6.59
2001:01:00,1.99180616,1.081713218,1.049615633,4.75,1.084734835,1.059414952,5.26
2001:02:00,2.107505852,1.082014287,1.058031397,4.59,1.080409858,1.06416809,4.1
2001:03:00,1.980590285,1.08372913,1.062309157,4.27,1.079622541,1.063983672,3.35
2001:04:00,1.514516206,1.081219613,1.065435887,3.44,1.086955968,1.066108365,2.06
2002:01:00,1.65895982,1.085082242,1.074634813,3.36,1.100400761,1.069028967,1.83
2002:02:00,1.965867386,1.092317002,1.078994552,3.44,1.103503324,1.075697143,1.83
